Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,min,max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Group Ranking?,Field Annotation
icecream_id,icecream_scenario_3,,text,Ice Cream ID,,,,,,,,,,,,,
s3_num_orders,icecream_scenario_3,,text,How many orders?,,Max orders: 10,integer,0,10,,,y,,,,,
s3_order1_name,icecream_scenario_3,Order #1 [s3_order1_name],text,[Order #1] Name on the order,,,,,,,[s3_num_orders] > 0,y,,,,,
s3_order1_cup_cone,icecream_scenario_3,,radio,[Order #1] Cup or Cone for [s3_order1_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 0 and [s3_order1_name],y,,,,,
s3_order1_flavor,icecream_scenario_3,,radio,[Order #1] What flavor does [s3_order1_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 0 and [s3_order1_name],y,,,,,
s3_order1_scoops,icecream_scenario_3,,text,[Order #1] How many scoops does [s3_order1_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 0 and [s3_order1_name],y,,,,,
s3_order2_name,icecream_scenario_3,Order #2 [s3_order2_name],text,[Order #2] Name on the order,,,,,,,[s3_num_orders] > 1,y,,,,,
s3_order2_cup_cone,icecream_scenario_3,,radio,[Order #2] Cup or Cone for [s3_order2_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 1 and [s3_order2_name],y,,,,,
s3_order2_flavor,icecream_scenario_3,,radio,[Order #2] What flavor does [s3_order2_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 1 and [s3_order2_name],y,,,,,
s3_order2_scoops,icecream_scenario_3,,text,[Order #2] How many scoops does [s3_order2_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 1 and [s3_order2_name],y,,,,,
s3_order3_name,icecream_scenario_3,Order #3 [s3_order3_name],text,[Order #3] Name on the order,,,,,,,[s3_num_orders] > 2,y,,,,,
s3_order3_cup_cone,icecream_scenario_3,,radio,[Order #3] Cup or Cone for [s3_order3_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 2 and [s3_order3_name],y,,,,,
s3_order3_flavor,icecream_scenario_3,,radio,[Order #3] What flavor does [s3_order3_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 2 and [s3_order3_name],y,,,,,
s3_order3_scoops,icecream_scenario_3,,text,[Order #3] How many scoops does [s3_order3_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 2 and [s3_order3_name],y,,,,,
s3_order4_name,icecream_scenario_3,Order #4 [s3_order4_name],text,[Order #4] Name on the order,,,,,,,[s3_num_orders] > 3,y,,,,,
s3_order4_cup_cone,icecream_scenario_3,,radio,[Order #4] Cup or Cone for [s3_order4_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 3 and [s3_order4_name],y,,,,,
s3_order4_flavor,icecream_scenario_3,,radio,[Order #4] What flavor does [s3_order4_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 3 and [s3_order4_name],y,,,,,
s3_order4_scoops,icecream_scenario_3,,text,[Order #4] How many scoops does [s3_order4_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 3 and [s3_order4_name],y,,,,,
s3_order5_name,icecream_scenario_3,Order #5 [s3_order5_name],text,[Order #5] Name on the order,,,,,,,[s3_num_orders] > 4,y,,,,,
s3_order5_cup_cone,icecream_scenario_3,,radio,[Order #5] Cup or Cone for [s3_order5_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 4 and [s3_order5_name],y,,,,,
s3_order5_flavor,icecream_scenario_3,,radio,[Order #5] What flavor does [s3_order5_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 4 and [s3_order5_name],y,,,,,
s3_order5_scoops,icecream_scenario_3,,text,[Order #5] How many scoops does [s3_order5_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 4 and [s3_order5_name],y,,,,,
s3_order6_name,icecream_scenario_3,Order #6 [s3_order6_name],text,[Order #6] Name on the order,,,,,,,[s3_num_orders] > 5,y,,,,,
s3_order6_cup_cone,icecream_scenario_3,,radio,[Order #6] Cup or Cone for [s3_order6_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 5 and [s3_order6_name],y,,,,,
s3_order6_flavor,icecream_scenario_3,,radio,[Order #6] What flavor does [s3_order6_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 5 and [s3_order6_name],y,,,,,
s3_order6_scoops,icecream_scenario_3,,text,[Order #6] How many scoops does [s3_order6_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 5 and [s3_order6_name],y,,,,,
s3_order7_name,icecream_scenario_3,Order #7 [s3_order7_name],text,[Order #7] Name on the order,,,,,,,[s3_num_orders] > 6,y,,,,,
s3_order7_cup_cone,icecream_scenario_3,,radio,[Order #7] Cup or Cone for [s3_order7_name]?,"cup,cup | cone,cone",,,,,,[s3_num_orders] > 6 and [s3_order7_name],y,,,,,
s3_order7_flavor,icecream_scenario_3,,radio,[Order #7] What flavor does [s3_order7_name] want?,"vanilla, vanilla | chocolate, chocolate | strawberry, strawberry",,,,,,[s3_num_orders] > 6 and [s3_order7_name],y,,,,,
s3_order7_scoops,icecream_scenario_3,,text,[Order #7] How many scoops does [s3_order7_name] want?,,Max scoops: 3,integer,,3,,[s3_num_orders] > 6 and [s3_order7_name],y,,,,,
